Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age
Mother Of Pearl,Contemporary,8,2,2002,22,22,20 to 50 Years,0,Exit,16,2016,14
Nicholas Kirkwood,Contemporary,12,5,2005,19,19,10 to 20 Years,0,Exit,17,2016,11
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,0,Exit,18,2016,34
Paul Andrew,Premium,10,3,2009,15,15,10 to 20 Years,0,Exit,19,2016,7
Pierre Hardy,Premium,8,1,2013,11,11,10 to 20 Years,0,Exit,20,2016,3
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,0,Exit,21,2016,19
Rick Owens,Premium,12,5,2014,10,10,5 to 10 Years,0,Exit,22,2016,2
Ronny Kobo,Contemporary,8,2,2009,15,15,10 to 20 Years,0,Exit,23,2016,7
Sass & Bide,Contemporary,8,1,1999,25,25,20 to 50 Years,0,Exit,24,2016,17
Tamara Mellon,Contemporary,9,2,2016,8,8,5 to 10 Years,0,Exit,25,2016,0
Tracy Reese,Contemporary,18,10,1998,26,26,20 to 50 Years,0,Exit,26,2016,18
Versace Collection,Contemporary,10,3,1989,35,35,20 to 50 Years,0,Exit,27,2016,27
Xirena,Contemporary,11,8,2011,13,13,10 to 20 Years,0,Exit,28,2016,5
Adam Lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,0,Exit,1,2017,13
Adidas,Contemporary,7,1,1949,75,75,50 to 100 Years,0,Exit,2,2017,68
Aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,0,Exit,3,2017,23
Ba&Sh,Contemporary,7,1,2003,21,21,20 to 50 Years,0,Exit,4,2017,14
Badgley Mischka Couture,Contemporary,7,1,1988,36,36,20 to 50 Years,0,Exit,5,2017,29
Belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,0,Exit,6,2017,93
Buscemi,Premium,7,1,1974,50,50,20 to 50 Years,0,Exit,7,2017,43
Charlotte Olympia,Premium,12,6,2009,15,15,10 to 20 Years,0,Exit,8,2017,8
Common Projects,Contemporary,7,1,2004,20,20,10 to 20 Years,0,Exit,9,2017,13
Creatures Of The Wind,Contemporary,7,1,2008,16,16,10 to 20 Years,0,Exit,10,2017,9
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,0,Exit,11,2017,16
For Love & Lemons,Contemporary,9,3,2011,13,13,10 to 20 Years,0,Exit,12,2017,6
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,1,Exit,13,2017,161
Isabel Marant Etoile,Contemporary,7,4,1999,25,25,20 to 50 Years,0,Exit,14,2017,18
J. Mendel,Luxury,12,6,1870,154,154,100 to 200 Years,0,Exit,15,2017,147
Kendall + Kylie,Contemporary,7,1,2012,12,12,10 to 20 Years,0,Exit,16,2017,5
La Petite Robe Di Chiara Boni,Contemporary,8,2,2007,17,17,10 to 20 Years,0,Exit,17,2017,10
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,0,Exit,18,2017,28
Ml Monique Lhuillier,Contemporary,12,11,1996,28,28,20 to 50 Years,0,Exit,19,2017,21
Mm6 Maison Margiela,Contemporary,7,3,1997,27,27,20 to 50 Years,0,Exit,20,2017,20
Mugler,Premium,12,4,1958,66,66,50 to 100 Years,0,Exit,21,2017,59
New Balance,Contemporary,7,1,1906,118,118,100 to 200 Years,0,Exit,22,2017,111
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,0,Exit,23,2017,85
Paige Denim,Contemporary,11,5,2004,20,20,10 to 20 Years,0,Exit,24,2017,13
Public School,Contemporary,7,1,2008,16,16,10 to 20 Years,0,Exit,25,2017,9
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,0,Exit,26,2017,14
Repetto,Contemporary,7,1,1947,77,77,50 to 100 Years,0,Exit,27,2017,70
Suno,Contemporary,7,1,2008,16,16,10 to 20 Years,0,Exit,28,2017,9
Ted Baker London,Contemporary,9,5,1988,36,36,20 to 50 Years,0,Exit,29,2017,29
Thakoon Addition,Contemporary,12,5,2012,12,12,10 to 20 Years,0,Exit,30,2017,5
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,0,Exit,1,2018,10
Anya Hindmarch,Contemporary,8,3,1987,37,37,20 to 50 Years,0,Exit,2,2018,31
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,0,Exit,3,2018,39
Coach 1941,Contemporary,7,2,1941,83,83,50 to 100 Years,0,Exit,4,2018,77
Coach New York,Contemporary,7,2,1941,83,83,50 to 100 Years,0,Exit,5,2018,77
Delpozo,Premium,6,1,2015,9,9,5 to 10 Years,0,Exit,6,2018,3
Etoile Isabel Marant,Contemporary,6,2,1994,30,30,20 to 50 Years,0,Exit,7,2018,24
Fleurette,Contemporary,6,5,1949,75,75,50 to 100 Years,0,Exit,8,2018,69
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,0,Exit,9,2018,12
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,0,Exit,10,2018,36
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,0,Exit,11,2018,20
Lanvin,Luxury,12,7,1889,135,135,100 to 200 Years,0,Exit,12,2018,129
Mary Katrantzou,Premium,12,7,1988,36,36,20 to 50 Years,0,Exit,13,2018,30
Mcm,Contemporary,8,6,1976,48,48,20 to 50 Years,0,Exit,14,2018,42
Monse,Contemporary,7,2,2015,9,9,5 to 10 Years,0,Exit,15,2018,3
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,0,Exit,16,2018,35
Mother Denim,Contemporary,12,4,2010,14,14,10 to 20 Years,0,Exit,17,2018,8
Nicholas,Contemporary,8,3,2003,21,21,20 to 50 Years,0,Exit,18,2018,15
Olympia Le-Tan,Premium,6,4,1966,58,58,50 to 100 Years,0,Exit,19,2018,52
Paco Rabanne,Premium,6,4,1987,37,37,20 to 50 Years,0,Exit,20,2018,31
Peserico,Contemporary,7,2,1962,62,62,50 to 100 Years,0,Exit,21,2018,56
Ph15,Contemporary,7,2,2011,13,13,10 to 20 Years,0,Exit,22,2018,7
Post Card,Contemporary,16,3,1957,67,67,50 to 100 Years,0,Exit,23,2018,61
Prabal Gurung,Premium,8,3,1937,87,87,50 to 100 Years,0,Exit,24,2018,81
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,0,Exit,25,2018,21
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,0,Exit,26,2018,16
Sanayi313,Contemporary,6,1,2015,9,9,5 to 10 Years,0,Exit,27,2018,3
Smythson,Contemporary,8,3,1887,137,137,100 to 200 Years,0,Exit,28,2018,131
Sophie Hulme,Contemporary,10,5,2007,17,17,10 to 20 Years,0,Exit,29,2018,11
Tabitha Simmons,Premium,11,6,1986,38,38,20 to 50 Years,0,Exit,30,2018,32
Theirry Mugler,Luxury,6,1,1973,51,51,50 to 100 Years,0,Exit,31,2018,45
A.W.A.K.E.,Contemporary,6,2,2012,12,12,10 to 20 Years,0,Exit,1,2019,7
Acne Studios,Contemporary,9,5,1996,28,28,20 to 50 Years,0,Exit,2,2019,23
Alaia,Luxury,5,1,1980,44,44,20 to 50 Years,0,Exit,3,2019,39
Alexa Chung,Contemporary,6,2,2016,8,8,5 to 10 Years,0,Exit,4,2019,3
Boutique Moschino,Luxury,6,2,1983,41,41,20 to 50 Years,0,Exit,5,2019,36
Carbon 38,Contemporary,5,1,2013,11,11,10 to 20 Years,0,Exit,6,2019,6
Cushnie Et Ochs,Contemporary,9,5,2008,16,16,10 to 20 Years,0,Exit,7,2019,11
Elie Saab,Contemporary,12,9,1982,42,42,20 to 50 Years,0,Exit,8,2019,37
Giada Forte,Contemporary,5,1,2002,22,22,20 to 50 Years,0,Exit,9,2019,17
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,0,Exit,10,2019,16
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,0,Exit,11,2019,21
M.I.H Jeans,Contemporary,7,3,1969,55,55,50 to 100 Years,0,Exit,12,2019,50
Mr. & Mrs. Italy,Luxury,5,1,2007,17,17,10 to 20 Years,0,Exit,13,2019,12
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,0,Exit,14,2019,81
Nbd,Contemporary,5,1,2015,9,9,5 to 10 Years,0,Exit,15,2019,4
Rachel Gilbert,Contemporary,9,5,2007,17,17,10 to 20 Years,0,Exit,16,2019,12
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,0,Exit,17,2019,16
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,0,Exit,18,2019,92
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,0,Exit,19,2019,10
Tularosa,Contemporary,5,1,2014,10,10,5 to 10 Years,0,Exit,20,2019,5
Adrienne Landau,Contemporary,4,1,1980,44,44,20 to 50 Years,0,Exit,1,2020,40
Alanui,Contemporary,5,2,2016,8,8,5 to 10 Years,0,Exit,2,2020,4
All Things Mochi,Contemporary,4,1,2013,11,11,10 to 20 Years,0,Exit,3,2020,7
Belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,0,Exit,4,2020,96
Calvin Klein 205W39Nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,0,Exit,5,2020,52
Cupcakes And Cashmere,Contemporary,5,2,2012,12,12,10 to 20 Years,0,Exit,6,2020,8
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,0,Exit,7,2020,74
Dodo Bar Or,Contemporary,4,1,2014,10,10,5 to 10 Years,0,Exit,8,2020,6
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,0,Exit,9,2020,13
F.R.S For Restless Sleepers,Premium,4,1,2008,16,16,10 to 20 Years,0,Exit,10,2020,12
Fame And Partners,Contemporary,5,2,2013,11,11,10 to 20 Years,0,Exit,11,2020,7
Fenty Puma By Rihanna,Contemporary,7,4,2016,8,8,5 to 10 Years,0,Exit,12,2020,4
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,0,Exit,13,2020,17
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,0,Exit,14,2020,11
Jill Jill Stuart,Contemporary,7,4,2012,12,12,10 to 20 Years,0,Exit,15,2020,8
Les Petits Joueurs,Contemporary,7,4,2013,11,11,10 to 20 Years,0,Exit,16,2020,7
Levi's,Contemporary,5,2,1853,171,171,100 to 200 Years,0,Exit,17,2020,167
Maison Margiela,Premium,8,7,2015,9,9,5 to 10 Years,0,Exit,18,2020,5
Needle & Thread,Contemporary,6,3,2013,11,11,10 to 20 Years,0,Exit,19,2020,7
Opening Ceremony,Contemporary,9,6,2002,22,22,20 to 50 Years,0,Exit,20,2020,18
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,0,Exit,21,2020,9
Rejina Pyo,Contemporary,6,3,2013,11,11,10 to 20 Years,0,Exit,22,2020,7
Saylor,Contemporary,5,2,2015,9,9,5 to 10 Years,0,Exit,23,2020,5
Shona Joy,Contemporary,4,1,2000,24,24,20 to 50 Years,0,Exit,24,2020,20
The Attico,Contemporary,4,2,2016,8,8,5 to 10 Years,0,Exit,25,2020,4
The Volon,Contemporary,4,1,2013,11,11,10 to 20 Years,0,Exit,26,2020,7
Vita Kin,Contemporary,5,2,2008,16,16,10 to 20 Years,0,Exit,27,2020,12
Zac Zac Posen,Contemporary,10,7,2013,11,11,10 to 20 Years,0,Exit,28,2020,7
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,0,Exit,1,2021,16
Amanda Uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,0,Exit,2,2021,18
Area,Premium,3,2,2008,16,16,10 to 20 Years,0,Exit,3,2021,13
Ba&Sh,Contemporary,3,2,2003,21,21,20 to 50 Years,0,Exit,4,2021,18
Barbour,Contemporary,5,3,1894,130,130,100 to 200 Years,0,Exit,5,2021,127
Caroline Constas,Contemporary,6,4,2012,12,12,10 to 20 Years,0,Exit,6,2021,9
Coach,Contemporary,5,4,1941,83,83,50 to 100 Years,0,Exit,7,2021,80
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,0,Exit,8,2021,43
Double J,Contemporary,4,2,2015,9,9,5 to 10 Years,0,Exit,9,2021,6
Eugenia Kim,Contemporary,4,2,1997,27,27,20 to 50 Years,0,Exit,10,2021,24
Faithfull The Brand,Contemporary,4,2,2012,12,12,10 to 20 Years,0,Exit,11,2021,9
Grlfrnd,Contemporary,3,1,2016,8,8,5 to 10 Years,0,Exit,12,2021,5
Harris Wharf London,Contemporary,4,2,2009,15,15,10 to 20 Years,0,Exit,13,2021,12
Hayward,Contemporary,5,3,2014,10,10,5 to 10 Years,0,Exit,14,2021,7
Hunting Season,Contemporary,3,1,2006,18,18,10 to 20 Years,0,Exit,15,2021,15
Isabel Marant Etoile,Contemporary,7,4,1999,25,25,20 to 50 Years,0,Exit,16,2021,22
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,0,Exit,17,2021,61
Liberty London,Contemporary,7,6,1875,149,149,100 to 200 Years,0,Exit,18,2021,146
Lingua Franca,Contemporary,4,2,2016,8,8,5 to 10 Years,0,Exit,19,2021,5
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,0,Exit,20,2021,16
Longchamp,Contemporary,11,10,1948,76,76,50 to 100 Years,0,Exit,21,2021,73
Lucchese,Contemporary,4,2,1883,141,141,100 to 200 Years,0,Exit,22,2021,138
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,0,Exit,23,2021,23
Mansur Gavriel,Contemporary,6,5,2012,12,12,10 to 20 Years,0,Exit,24,2021,9
Mcm,Contemporary,8,6,1976,48,48,20 to 50 Years,0,Exit,25,2021,45
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,0,Exit,26,2021,16
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,0,Exit,27,2021,28
Mother Of Pearl,Contemporary,8,2,2002,22,22,20 to 50 Years,0,Exit,28,2021,19
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,0,Exit,29,2021,20
Nike,Contemporary,6,4,1964,60,60,50 to 100 Years,0,Exit,30,2021,57
No. 21,Contemporary,9,5,2010,14,14,10 to 20 Years,0,Exit,31,2021,11
Olympia Le-Tan,Premium,6,4,1966,58,58,50 to 100 Years,0,Exit,32,2021,55
Paco Rabanne,Premium,6,4,1987,37,37,20 to 50 Years,0,Exit,33,2021,34
Perfect Moment,Contemporary,3,2,1984,40,40,20 to 50 Years,0,Exit,34,2021,37
Pinko,Contemporary,4,3,1986,38,38,20 to 50 Years,0,Exit,35,2021,35
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,0,Exit,36,2021,24
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,0,Exit,37,2021,16
Rosantica,Premium,4,2,2014,10,10,5 to 10 Years,0,Exit,38,2021,7
Self Portrait,Contemporary,8,6,2013,11,11,10 to 20 Years,0,Exit,39,2021,8
Sensi Studio,Contemporary,4,2,2010,14,14,10 to 20 Years,0,Exit,40,2021,11
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,0,Exit,41,2021,13
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,0,Exit,42,2021,30
Simone Rocha,Contemporary,6,4,2010,14,14,10 to 20 Years,0,Exit,43,2021,11
Solace London,Contemporary,6,4,2013,11,11,10 to 20 Years,0,Exit,44,2021,8
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,0,Exit,45,2021,59
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,0,Exit,46,2021,39
Ted Baker London,Contemporary,9,5,1988,36,36,20 to 50 Years,0,Exit,47,2021,33
Under Armour,Contemporary,6,4,1996,28,28,20 to 50 Years,0,Exit,48,2021,25
Valextra,Premium,4,3,1992,32,32,20 to 50 Years,0,Exit,49,2021,29
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,0,Exit,50,2021,23
Yuzefi,Contemporary,4,3,2015,9,9,5 to 10 Years,0,Exit,51,2021,6
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,0,Exit,52,2021,23
Zuhair Murad,Luxury,8,7,1997,27,27,20 to 50 Years,0,Exit,53,2021,24
Ambush,Premium,2,1,2014,10,10,5 to 10 Years,0,Exit,1,2022,8
Brock Collection,Premium,6,5,2012,12,12,10 to 20 Years,0,Exit,2,2022,10
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,0,Exit,3,2022,14
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,0,Exit,4,2022,48
Escada,Premium,17,16,1922,102,102,100 to 200 Years,0,Exit,5,2022,100
Etoile Isabel Marant,Contemporary,6,2,1994,30,30,20 to 50 Years,0,Exit,6,2022,28
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,0,Exit,7,2022,101
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,0,Exit,8,2022,166
J Brand,Contemporary,10,9,2004,20,20,10 to 20 Years,0,Exit,9,2022,18
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,0,Exit,10,2022,16
Msgm,Contemporary,7,6,2009,15,15,10 to 20 Years,0,Exit,11,2022,13
P448,Contemporary,5,4,2014,10,10,5 to 10 Years,0,Exit,12,2022,8
Paris Texas,Contemporary,3,2,2015,9,9,5 to 10 Years,0,Exit,13,2022,7
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,0,Exit,14,2022,14
Ralph Lauren Collection,Luxury,16,2,1967,57,57,50 to 100 Years,0,Exit,15,2022,55
Rta,Contemporary,5,4,2013,11,11,10 to 20 Years,0,Exit,16,2022,9
Sies Marjan,Contemporary,3,2,2016,8,8,5 to 10 Years,0,Exit,17,2022,6
Victoria Victoria Beckham,Contemporary,6,5,2008,16,16,10 to 20 Years,0,Exit,18,2022,14
Xirena,Contemporary,11,8,2011,13,13,10 to 20 Years,0,Exit,19,2022,11
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,1,Existing,1,2004,24
Anna Sui,Contemporary,19,5,1981,43,43,20 to 50 Years,1,Existing,2,2004,23
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,3,2004,25
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,4,2004,27
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,5,2004,38
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,6,2004,148
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,7,2004,52
Christian Lacroix,Luxury,19,4,1987,37,37,20 to 50 Years,1,Existing,8,2004,17
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,9,2004,13
Diane Vonfurstenberg,Contemporary,19,4,1972,52,52,50 to 100 Years,1,Existing,10,2004,32
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,11,2004,19
Donna Karan Collection,Premium,19,6,2000,24,24,20 to 50 Years,1,Existing,12,2004,4
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,13,2004,20
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,14,2004,30
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,15,2004,57
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,16,2004,3
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,17,2004,36
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,18,2004,79
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,19,2004,1
G-Series,Contemporary,19,3,2003,21,21,20 to 50 Years,1,Existing,20,2004,1
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,21,2004,10
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,22,2004,83
Isabella Fiore,Contemporary,19,6,1997,27,27,20 to 50 Years,1,Existing,23,2004,7
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,24,2004,22
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,25,2004,41
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,26,2004,6
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,1,Existing,27,2004,11
Lambertson Truex,Premium,19,4,1973,51,51,50 to 100 Years,1,Existing,28,2004,31
Luella,Contemporary,19,3,1999,25,25,20 to 50 Years,1,Existing,29,2004,5
Lulu Guinness,Contemporary,19,3,1989,35,35,20 to 50 Years,1,Existing,30,2004,15
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,31,2004,34
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,32,2004,20
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,33,2004,23
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,34,2004,3
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,35,2004,11
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,1,Existing,36,2004,16
Moschino Jeans,Contemporary,19,2,1987,37,37,20 to 50 Years,1,Existing,37,2004,17
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,38,2004,66
Paul Smith,Contemporary,19,2,1970,54,54,50 to 100 Years,1,Existing,39,2004,34
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,40,2004,13
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,41,2004,91
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,42,2004,-3
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,43,2004,77
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,44,2004,77
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,45,2004,18
Stubbs & Wootton,Contemporary,19,1,1993,31,31,20 to 50 Years,1,Existing,46,2004,11
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,47,2004,7
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,48,2004,84
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,46,2005,85
Tse Cashmere,Contemporary,19,5,1989,35,35,20 to 50 Years,1,Existing,50,2004,15
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,51,2004,44
Valentino Roma,Premium,19,5,1994,30,30,20 to 50 Years,1,Existing,52,2004,10
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,53,2004,2
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,54,2004,54
Yigal Azrouel,Contemporary,19,3,1998,26,26,20 to 50 Years,1,Existing,55,2004,6
Yves Saint Laurent Rive Gauche,Contemporary,19,1,1966,58,58,50 to 100 Years,1,Existing,56,2004,38
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,57,2004,6
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,66,2006,86
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,1,Existing,1,2005,25
Anna Sui,Contemporary,19,5,1981,43,43,20 to 50 Years,1,Existing,2,2005,24
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,3,2005,26
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,4,2005,28
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,5,2005,39
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,6,2005,149
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,7,2005,53
Christian Lacroix,Luxury,19,4,1987,37,37,20 to 50 Years,1,Existing,8,2005,18
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,9,2005,14
Diane Vonfurstenberg,Contemporary,19,4,1972,52,52,50 to 100 Years,1,Existing,10,2005,33
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,11,2005,20
Donna Karan Collection,Premium,19,6,2000,24,24,20 to 50 Years,1,Existing,12,2005,5
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,13,2005,21
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,14,2005,31
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,15,2005,58
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,16,2005,4
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,17,2005,37
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,18,2005,80
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,19,2005,2
G-Series,Contemporary,19,3,2003,21,21,20 to 50 Years,1,Existing,20,2005,2
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,21,2005,11
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,22,2005,84
Isabella Fiore,Contemporary,19,6,1997,27,27,20 to 50 Years,1,Existing,23,2005,8
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,24,2005,23
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,25,2005,42
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,26,2005,7
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,1,Existing,27,2005,12
Lambertson Truex,Premium,19,4,1973,51,51,50 to 100 Years,1,Existing,28,2005,32
Luella,Contemporary,19,3,1999,25,25,20 to 50 Years,1,Existing,29,2005,6
Lulu Guinness,Contemporary,19,3,1989,35,35,20 to 50 Years,1,Existing,30,2005,16
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,31,2005,35
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,32,2005,24
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,33,2005,4
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,34,2005,12
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,1,Existing,35,2005,17
Moschino Jeans,Contemporary,19,2,1987,37,37,20 to 50 Years,1,Existing,36,2005,18
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,37,2005,67
Paul Smith,Contemporary,19,2,1970,54,54,50 to 100 Years,1,Existing,38,2005,35
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,39,2005,14
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,40,2005,92
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,41,2005,-2
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,42,2005,78
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,43,2005,78
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,44,2005,19
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,45,2005,8
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,67,2007,87
Tse Cashmere,Contemporary,19,5,1989,35,35,20 to 50 Years,1,Existing,47,2005,16
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,48,2005,45
