Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age,Relative Age Group
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,0,Exit,17,2019,16,5 to 10 Years
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,0,Exit,18,2019,92,5 to 10 Years
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,0,Exit,19,2019,10,5 to 10 Years
Tularosa,Contemporary,5,1,2014,10,10,5 to 10 Years,0,Exit,20,2019,5,5 to 10 Years
Adrienne Landau,Contemporary,4,1,1980,44,44,20 to 50 Years,0,Exit,1,2020,40,5 to 10 Years
Alanui,Contemporary,5,2,2016,8,8,5 to 10 Years,0,Exit,2,2020,4,5 to 10 Years
All Things Mochi,Contemporary,4,1,2013,11,11,10 to 20 Years,0,Exit,3,2020,7,5 to 10 Years
Belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,0,Exit,4,2020,96,5 to 10 Years
Calvin Klein 205W39Nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,0,Exit,5,2020,52,5 to 10 Years
Cupcakes And Cashmere,Contemporary,5,2,2012,12,12,10 to 20 Years,0,Exit,6,2020,8,5 to 10 Years
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,0,Exit,7,2020,74,5 to 10 Years
Dodo Bar Or,Contemporary,4,1,2014,10,10,5 to 10 Years,0,Exit,8,2020,6,5 to 10 Years
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,0,Exit,9,2020,13,5 to 10 Years
F.R.S For Restless Sleepers,Premium,4,1,2008,16,16,10 to 20 Years,0,Exit,10,2020,12,5 to 10 Years
Fame And Partners,Contemporary,5,2,2013,11,11,10 to 20 Years,0,Exit,11,2020,7,5 to 10 Years
Fenty Puma By Rihanna,Contemporary,7,4,2016,8,8,5 to 10 Years,0,Exit,12,2020,4,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,0,Exit,13,2020,17,5 to 10 Years
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,0,Exit,14,2020,11,5 to 10 Years
Jill Jill Stuart,Contemporary,7,4,2012,12,12,10 to 20 Years,0,Exit,15,2020,8,5 to 10 Years
Les Petits Joueurs,Contemporary,7,4,2013,11,11,10 to 20 Years,0,Exit,16,2020,7,5 to 10 Years
Levi's,Contemporary,5,2,1853,171,171,100 to 200 Years,0,Exit,17,2020,167,5 to 10 Years
Maison Margiela,Premium,8,7,2015,9,9,5 to 10 Years,0,Exit,18,2020,5,5 to 10 Years
Needle & Thread,Contemporary,6,3,2013,11,11,10 to 20 Years,0,Exit,19,2020,7,5 to 10 Years
Opening Ceremony,Contemporary,9,6,2002,22,22,20 to 50 Years,0,Exit,20,2020,18,5 to 10 Years
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,0,Exit,21,2020,9,5 to 10 Years
Rejina Pyo,Contemporary,6,3,2013,11,11,10 to 20 Years,0,Exit,22,2020,7,5 to 10 Years
Saylor,Contemporary,5,2,2015,9,9,5 to 10 Years,0,Exit,23,2020,5,5 to 10 Years
Shona Joy,Contemporary,4,1,2000,24,24,20 to 50 Years,0,Exit,24,2020,20,5 to 10 Years
The Attico,Contemporary,4,2,2016,8,8,5 to 10 Years,0,Exit,25,2020,4,5 to 10 Years
The Volon,Contemporary,4,1,2013,11,11,10 to 20 Years,0,Exit,26,2020,7,5 to 10 Years
Vita Kin,Contemporary,5,2,2008,16,16,10 to 20 Years,0,Exit,27,2020,12,5 to 10 Years
Zac Zac Posen,Contemporary,10,7,2013,11,11,10 to 20 Years,0,Exit,28,2020,7,5 to 10 Years
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,0,Exit,1,2021,16,5 to 10 Years
Amanda Uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,0,Exit,2,2021,18,5 to 10 Years
Area,Premium,3,2,2008,16,16,10 to 20 Years,0,Exit,3,2021,13,5 to 10 Years
Ba&Sh,Contemporary,3,2,2003,21,21,20 to 50 Years,0,Exit,4,2021,18,5 to 10 Years
Barbour,Contemporary,5,3,1894,130,130,100 to 200 Years,0,Exit,5,2021,127,5 to 10 Years
Caroline Constas,Contemporary,6,4,2012,12,12,10 to 20 Years,0,Exit,6,2021,9,5 to 10 Years
Coach,Contemporary,5,4,1941,83,83,50 to 100 Years,0,Exit,7,2021,80,5 to 10 Years
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,0,Exit,8,2021,43,5 to 10 Years
Double J,Contemporary,4,2,2015,9,9,5 to 10 Years,0,Exit,9,2021,6,5 to 10 Years
Eugenia Kim,Contemporary,4,2,1997,27,27,20 to 50 Years,0,Exit,10,2021,24,5 to 10 Years
Faithfull The Brand,Contemporary,4,2,2012,12,12,10 to 20 Years,0,Exit,11,2021,9,5 to 10 Years
Grlfrnd,Contemporary,3,1,2016,8,8,5 to 10 Years,0,Exit,12,2021,5,5 to 10 Years
Harris Wharf London,Contemporary,4,2,2009,15,15,10 to 20 Years,0,Exit,13,2021,12,5 to 10 Years
Hayward,Contemporary,5,3,2014,10,10,5 to 10 Years,0,Exit,14,2021,7,5 to 10 Years
Hunting Season,Contemporary,3,1,2006,18,18,10 to 20 Years,0,Exit,15,2021,15,5 to 10 Years
Isabel Marant Etoile,Contemporary,7,4,1999,25,25,20 to 50 Years,0,Exit,16,2021,22,5 to 10 Years
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,0,Exit,17,2021,61,5 to 10 Years
Liberty London,Contemporary,7,6,1875,149,149,100 to 200 Years,0,Exit,18,2021,146,5 to 10 Years
Lingua Franca,Contemporary,4,2,2016,8,8,5 to 10 Years,0,Exit,19,2021,5,5 to 10 Years
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,0,Exit,20,2021,16,5 to 10 Years
Longchamp,Contemporary,11,10,1948,76,76,50 to 100 Years,0,Exit,21,2021,73,5 to 10 Years
Lucchese,Contemporary,4,2,1883,141,141,100 to 200 Years,0,Exit,22,2021,138,5 to 10 Years
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,0,Exit,23,2021,23,5 to 10 Years
Mansur Gavriel,Contemporary,6,5,2012,12,12,10 to 20 Years,0,Exit,24,2021,9,5 to 10 Years
Mcm,Contemporary,8,6,1976,48,48,20 to 50 Years,0,Exit,25,2021,45,5 to 10 Years
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,0,Exit,26,2021,16,5 to 10 Years
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,0,Exit,27,2021,28,5 to 10 Years
Mother Of Pearl,Contemporary,8,2,2002,22,22,20 to 50 Years,0,Exit,28,2021,19,5 to 10 Years
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,0,Exit,29,2021,20,5 to 10 Years
Nike,Contemporary,6,4,1964,60,60,50 to 100 Years,0,Exit,30,2021,57,5 to 10 Years
No. 21,Contemporary,9,5,2010,14,14,10 to 20 Years,0,Exit,31,2021,11,5 to 10 Years
Olympia Le-Tan,Premium,6,4,1966,58,58,50 to 100 Years,0,Exit,32,2021,55,5 to 10 Years
Paco Rabanne,Premium,6,4,1987,37,37,20 to 50 Years,0,Exit,33,2021,34,5 to 10 Years
Perfect Moment,Contemporary,3,2,1984,40,40,20 to 50 Years,0,Exit,34,2021,37,5 to 10 Years
Pinko,Contemporary,4,3,1986,38,38,20 to 50 Years,0,Exit,35,2021,35,5 to 10 Years
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,0,Exit,36,2021,24,5 to 10 Years
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,0,Exit,37,2021,16,5 to 10 Years
Rosantica,Premium,4,2,2014,10,10,5 to 10 Years,0,Exit,38,2021,7,5 to 10 Years
Self Portrait,Contemporary,8,6,2013,11,11,10 to 20 Years,0,Exit,39,2021,8,5 to 10 Years
Sensi Studio,Contemporary,4,2,2010,14,14,10 to 20 Years,0,Exit,40,2021,11,5 to 10 Years
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,0,Exit,41,2021,13,5 to 10 Years
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,0,Exit,42,2021,30,5 to 10 Years
Simone Rocha,Contemporary,6,4,2010,14,14,10 to 20 Years,0,Exit,43,2021,11,5 to 10 Years
Solace London,Contemporary,6,4,2013,11,11,10 to 20 Years,0,Exit,44,2021,8,5 to 10 Years
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,0,Exit,45,2021,59,5 to 10 Years
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,0,Exit,46,2021,39,5 to 10 Years
Ted Baker London,Contemporary,9,5,1988,36,36,20 to 50 Years,0,Exit,47,2021,33,5 to 10 Years
Under Armour,Contemporary,6,4,1996,28,28,20 to 50 Years,0,Exit,48,2021,25,5 to 10 Years
Valextra,Premium,4,3,1992,32,32,20 to 50 Years,0,Exit,49,2021,29,5 to 10 Years
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,0,Exit,50,2021,23,5 to 10 Years
Yuzefi,Contemporary,4,3,2015,9,9,5 to 10 Years,0,Exit,51,2021,6,5 to 10 Years
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,0,Exit,52,2021,23,5 to 10 Years
Zuhair Murad,Luxury,8,7,1997,27,27,20 to 50 Years,0,Exit,53,2021,24,5 to 10 Years
Ambush,Premium,2,1,2014,10,10,5 to 10 Years,0,Exit,1,2022,8,5 to 10 Years
Brock Collection,Premium,6,5,2012,12,12,10 to 20 Years,0,Exit,2,2022,10,5 to 10 Years
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,0,Exit,3,2022,14,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,0,Exit,4,2022,48,5 to 10 Years
Escada,Premium,17,16,1922,102,102,100 to 200 Years,0,Exit,5,2022,100,5 to 10 Years
Etoile Isabel Marant,Contemporary,6,2,1994,30,30,20 to 50 Years,0,Exit,6,2022,28,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,0,Exit,7,2022,101,5 to 10 Years
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,0,Exit,8,2022,166,5 to 10 Years
J Brand,Contemporary,10,9,2004,20,20,10 to 20 Years,0,Exit,9,2022,18,5 to 10 Years
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,0,Exit,10,2022,16,5 to 10 Years
Msgm,Contemporary,7,6,2009,15,15,10 to 20 Years,0,Exit,11,2022,13,5 to 10 Years
P448,Contemporary,5,4,2014,10,10,5 to 10 Years,0,Exit,12,2022,8,5 to 10 Years
Paris Texas,Contemporary,3,2,2015,9,9,5 to 10 Years,0,Exit,13,2022,7,5 to 10 Years
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,0,Exit,14,2022,14,5 to 10 Years
Ralph Lauren Collection,Luxury,16,2,1967,57,57,50 to 100 Years,0,Exit,15,2022,55,5 to 10 Years
Rta,Contemporary,5,4,2013,11,11,10 to 20 Years,0,Exit,16,2022,9,5 to 10 Years
Sies Marjan,Contemporary,3,2,2016,8,8,5 to 10 Years,0,Exit,17,2022,6,5 to 10 Years
Victoria Victoria Beckham,Contemporary,6,5,2008,16,16,10 to 20 Years,0,Exit,18,2022,14,5 to 10 Years
Xirena,Contemporary,11,8,2011,13,13,10 to 20 Years,0,Exit,19,2022,11,5 to 10 Years
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,1,Existing,1,2004,24,5 to 10 Years
Anna Sui,Contemporary,19,5,1981,43,43,20 to 50 Years,1,Existing,2,2004,23,5 to 10 Years
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,3,2004,25,5 to 10 Years
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,4,2004,27,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,5,2004,38,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,6,2004,148,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,7,2004,52,5 to 10 Years
Christian Lacroix,Luxury,19,4,1987,37,37,20 to 50 Years,1,Existing,8,2004,17,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,9,2004,13,5 to 10 Years
Diane Vonfurstenberg,Contemporary,19,4,1972,52,52,50 to 100 Years,1,Existing,10,2004,32,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,11,2004,19,5 to 10 Years
Donna Karan Collection,Premium,19,6,2000,24,24,20 to 50 Years,1,Existing,12,2004,4,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,13,2004,20,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,14,2004,30,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,15,2004,57,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,16,2004,3,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,17,2004,36,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,18,2004,79,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,19,2004,1,5 to 10 Years
G-Series,Contemporary,19,3,2003,21,21,20 to 50 Years,1,Existing,20,2004,1,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,21,2004,10,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,22,2004,83,5 to 10 Years
Isabella Fiore,Contemporary,19,6,1997,27,27,20 to 50 Years,1,Existing,23,2004,7,5 to 10 Years
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,24,2004,22,5 to 10 Years
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,25,2004,41,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,26,2004,6,5 to 10 Years
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,1,Existing,27,2004,11,5 to 10 Years
Lambertson Truex,Premium,19,4,1973,51,51,50 to 100 Years,1,Existing,28,2004,31,5 to 10 Years
Luella,Contemporary,19,3,1999,25,25,20 to 50 Years,1,Existing,29,2004,5,5 to 10 Years
Lulu Guinness,Contemporary,19,3,1989,35,35,20 to 50 Years,1,Existing,30,2004,15,5 to 10 Years
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,31,2004,34,5 to 10 Years
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,32,2004,20,5 to 10 Years
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,33,2004,23,5 to 10 Years
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,34,2004,3,5 to 10 Years
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,35,2004,11,5 to 10 Years
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,1,Existing,36,2004,16,5 to 10 Years
Moschino Jeans,Contemporary,19,2,1987,37,37,20 to 50 Years,1,Existing,37,2004,17,5 to 10 Years
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,38,2004,66,5 to 10 Years
Paul Smith,Contemporary,19,2,1970,54,54,50 to 100 Years,1,Existing,39,2004,34,5 to 10 Years
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,40,2004,13,5 to 10 Years
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,41,2004,91,5 to 10 Years
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,42,2004,-3,Over 200 Years
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,43,2004,77,5 to 10 Years
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,44,2004,77,5 to 10 Years
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,45,2004,18,5 to 10 Years
Stubbs & Wootton,Contemporary,19,1,1993,31,31,20 to 50 Years,1,Existing,46,2004,11,5 to 10 Years
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,47,2004,7,5 to 10 Years
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,48,2004,84,5 to 10 Years
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,46,2005,85,5 to 10 Years
Tse Cashmere,Contemporary,19,5,1989,35,35,20 to 50 Years,1,Existing,50,2004,15,5 to 10 Years
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,51,2004,44,5 to 10 Years
Valentino Roma,Premium,19,5,1994,30,30,20 to 50 Years,1,Existing,52,2004,10,5 to 10 Years
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,53,2004,2,5 to 10 Years
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,54,2004,54,5 to 10 Years
Yigal Azrouel,Contemporary,19,3,1998,26,26,20 to 50 Years,1,Existing,55,2004,6,5 to 10 Years
Yves Saint Laurent Rive Gauche,Contemporary,19,1,1966,58,58,50 to 100 Years,1,Existing,56,2004,38,5 to 10 Years
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,57,2004,6,5 to 10 Years
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,66,2006,86,5 to 10 Years
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,1,Existing,1,2005,25,5 to 10 Years
Anna Sui,Contemporary,19,5,1981,43,43,20 to 50 Years,1,Existing,2,2005,24,5 to 10 Years
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,3,2005,26,5 to 10 Years
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,4,2005,28,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,5,2005,39,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,6,2005,149,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,7,2005,53,5 to 10 Years
Christian Lacroix,Luxury,19,4,1987,37,37,20 to 50 Years,1,Existing,8,2005,18,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,9,2005,14,5 to 10 Years
Diane Vonfurstenberg,Contemporary,19,4,1972,52,52,50 to 100 Years,1,Existing,10,2005,33,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,11,2005,20,5 to 10 Years
Donna Karan Collection,Premium,19,6,2000,24,24,20 to 50 Years,1,Existing,12,2005,5,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,13,2005,21,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,14,2005,31,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,15,2005,58,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,16,2005,4,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,17,2005,37,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,18,2005,80,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,19,2005,2,5 to 10 Years
G-Series,Contemporary,19,3,2003,21,21,20 to 50 Years,1,Existing,20,2005,2,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,21,2005,11,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,22,2005,84,5 to 10 Years
Isabella Fiore,Contemporary,19,6,1997,27,27,20 to 50 Years,1,Existing,23,2005,8,5 to 10 Years
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,24,2005,23,5 to 10 Years
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,25,2005,42,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,26,2005,7,5 to 10 Years
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,1,Existing,27,2005,12,5 to 10 Years
Lambertson Truex,Premium,19,4,1973,51,51,50 to 100 Years,1,Existing,28,2005,32,5 to 10 Years
Luella,Contemporary,19,3,1999,25,25,20 to 50 Years,1,Existing,29,2005,6,5 to 10 Years
Lulu Guinness,Contemporary,19,3,1989,35,35,20 to 50 Years,1,Existing,30,2005,16,5 to 10 Years
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,31,2005,35,5 to 10 Years
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,32,2005,24,5 to 10 Years
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,33,2005,4,5 to 10 Years
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,34,2005,12,5 to 10 Years
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,1,Existing,35,2005,17,5 to 10 Years
Moschino Jeans,Contemporary,19,2,1987,37,37,20 to 50 Years,1,Existing,36,2005,18,5 to 10 Years
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,37,2005,67,5 to 10 Years
Paul Smith,Contemporary,19,2,1970,54,54,50 to 100 Years,1,Existing,38,2005,35,5 to 10 Years
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,39,2005,14,5 to 10 Years
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,40,2005,92,5 to 10 Years
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,41,2005,-2,Over 200 Years
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,42,2005,78,5 to 10 Years
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,43,2005,78,5 to 10 Years
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,44,2005,19,5 to 10 Years
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,45,2005,8,5 to 10 Years
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,1,Existing,67,2007,87,5 to 10 Years
Tse Cashmere,Contemporary,19,5,1989,35,35,20 to 50 Years,1,Existing,47,2005,16,5 to 10 Years
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,48,2005,45,5 to 10 Years
Valentino Roma,Premium,19,5,1994,30,30,20 to 50 Years,1,Existing,49,2005,11,5 to 10 Years
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,50,2005,3,5 to 10 Years
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,51,2005,55,5 to 10 Years
Yigal Azrouel,Contemporary,19,3,1998,26,26,20 to 50 Years,1,Existing,52,2005,7,5 to 10 Years
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,53,2005,7,5 to 10 Years
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,1,Existing,1,2006,26,5 to 10 Years
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,2,2006,4,5 to 10 Years
Anna Sui,Contemporary,19,5,1981,43,43,20 to 50 Years,1,Existing,3,2006,25,5 to 10 Years
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,4,2006,27,5 to 10 Years
Armani Jeans,Contemporary,18,2,1981,43,43,20 to 50 Years,1,Existing,5,2006,25,5 to 10 Years
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,6,2006,29,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,7,2006,40,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,8,2006,150,5 to 10 Years
Celine,Luxury,18,3,1945,79,79,50 to 100 Years,1,Existing,9,2006,61,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,10,2006,54,5 to 10 Years
Christian Lacroix,Luxury,19,4,1987,37,37,20 to 50 Years,1,Existing,11,2006,19,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,12,2006,15,5 to 10 Years
Class Roberto Cavalli,Contemporary,18,2,1970,54,54,50 to 100 Years,1,Existing,13,2006,36,5 to 10 Years
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,14,2006,28,5 to 10 Years
Diane Vonfurstenberg,Contemporary,19,4,1972,52,52,50 to 100 Years,1,Existing,15,2006,34,5 to 10 Years
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,1,Existing,16,2006,60,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,17,2006,21,5 to 10 Years
Donna Karan Collection,Premium,19,6,2000,24,24,20 to 50 Years,1,Existing,18,2006,6,5 to 10 Years
Easton Pearson,Contemporary,18,2,1989,35,35,20 to 50 Years,1,Existing,19,2006,17,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,20,2006,22,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,21,2006,32,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,22,2006,59,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,23,2006,5,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,24,2006,38,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,25,2006,81,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,26,2006,3,5 to 10 Years
Furla,Contemporary,18,3,1927,97,97,50 to 100 Years,1,Existing,27,2006,79,5 to 10 Years
G-Series,Contemporary,19,3,2003,21,21,20 to 50 Years,1,Existing,28,2006,3,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,29,2006,12,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,30,2006,85,5 to 10 Years
Isabella Fiore,Contemporary,19,6,1997,27,27,20 to 50 Years,1,Existing,31,2006,9,5 to 10 Years
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,32,2006,24,5 to 10 Years
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,33,2006,43,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,34,2006,8,5 to 10 Years
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,1,Existing,35,2006,13,5 to 10 Years
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,36,2006,52,5 to 10 Years
Lambertson Truex,Premium,19,4,1973,51,51,50 to 100 Years,1,Existing,37,2006,33,5 to 10 Years
